Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Goalkeeper,Top Scorer,GF by Top Scorer,GF/90,GA/90,GD/90,GF by Top Scorer/90
18, Newcastle Utd 2015/2016,38,9,10,19,44,65,-21,37,0.97,0,0,0,0,"49,754",RoElliot,Georginio Wijnaldum , 11,1.16 ,1.71 ,-0.55 ,0.29 
19, NorwicCity 2015/2016,38,9,7,22,39,67,-28,34,0.89,0,0,0,0,"26,972",John Ruddy,Dieumerci Mbokani , 7,1.03 ,1.76 ,-0.74 ,0.18 
20, Aston Villa 2015/2016,38,3,8,27,27,76,-49,17,0.45,0,0,0,0,"33,690",Brad Guzan,Jordan Ayew , 7,0.71 ,2.00 ,-1.29 ,0.18 
1, Chelsea 2016/2017,38,30,3,5,85,33,52,93,2.45,0,0,0,0,"41,508",ThibauCourtois,DiegCosta , 20,2.24 ,0.87 ,1.37 ,0.53 
2, Tottenham 2016/2017,38,26,8,4,86,26,60,86,2.26,0,0,0,0,"31,639",Hugo Lloris,Harry Kane , 29,2.26 ,0.68 ,1.58 ,0.76 
3, ManchesteCity 2016/2017,38,23,9,6,80,39,41,78,2.05,0,0,0,0,"54,019",Claudio Bravo,Sergio Agüero , 20,2.11 ,1.03 ,1.08 ,0.53 
4, Liverpool 2016/2017,38,22,10,6,78,42,36,76,2,0,0,0,0,"53,016",Simon Mignolet,"PhilippCoutinho, Sadio Mané ", 13,2.05 ,1.11 ,0.95 ,0.34 
5, Arsenal 2016/2017,38,23,6,9,77,44,33,75,1.97,0,0,0,0,"59,957",PetCech,Alexis Sánchez , 24,2.03 ,1.16 ,0.87 ,0.63 
6, Manchester Utd 2016/2017,38,18,15,5,54,29,25,69,1.82,0,0,0,0,"75,290",David de Gea,Zlatan Ibrahimovic , 17,1.42 ,0.76 ,0.66 ,0.45 
7, Everton 2016/2017,38,17,10,11,62,44,18,61,1.61,0,0,0,0,"39,047",Joel Robles,Romelu Lukaku , 25,1.63 ,1.16 ,0.47 ,0.66 
8, Southampton 2016/2017,38,12,10,16,41,48,-7,46,1.21,0,0,0,0,"30,936",Fraser Forster,Nathan Redmond , 7,1.08 ,1.26 ,-0.18 ,0.18 
9, Bournemouth 2016/2017,38,12,10,16,55,67,-12,46,1.21,0,0,0,0,"11,182",Artur Boruc,Joshua King , 16,1.45 ,1.76 ,-0.32 ,0.42 
10, West Brom 2016/2017,38,12,9,17,43,51,-8,45,1.18,0,0,0,0,"23,876",Ben Foster,Salomón Rondón , 8,1.13 ,1.34 ,-0.21 ,0.21 
11, West Ham 2016/2017,38,12,9,17,47,64,-17,45,1.18,0,0,0,0,"56,972",Darren Randolph,Michail Antonio , 9,1.24 ,1.68 ,-0.45 ,0.24 
12, LeicesteCity 2016/2017,38,12,8,18,48,63,-15,44,1.16,0,0,0,0,"31,893",Kasper Schmeichel,Jamie Vardy , 13,1.26 ,1.66 ,-0.39 ,0.34 
13, StokCity 2016/2017,38,11,11,16,41,56,-15,44,1.16,0,0,0,0,"27,433",Lee Grant,PeteCrouch , 7,1.08 ,1.47 ,-0.39 ,0.18 
14, Crystal Palace 2016/2017,38,12,5,21,50,63,-13,41,1.08,0,0,0,0,"25,161",Wayne Hennessey,Christian Benteke , 15,1.32 ,1.66 ,-0.34 ,0.39 
15, SwanseCity 2016/2017,38,12,5,21,45,70,-25,41,1.08,0,0,0,0,"20,619",Lukasz Fabianski,Fernando Llorente , 15,1.18 ,1.84 ,-0.66 ,0.39 
